VIPS 영통점 (주휴수당포함 9040원),무관,"시급 9,040원","패밀리레스토랑, 서빙, ",경기 수원시 영통구 망포동 27-1번지 빕스영통점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60273801&mj_stat=0&optgf=
VIPS 영통점 (주휴수당포함 9040원),무관,"시급 9,040원","패밀리레스토랑, 서빙, ",경기 수원시 영통구 망포동 27-1번지 빕스영통점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60273782&mj_stat=0&optgf=
노랑통닭,남자,"시급 12,000원","치킨·피자전문점, ",경기 수원시 영통구 망포동 386 110호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60272811&mj_stat=0&optgf=
하시,무관,"시급 8,500원","일반음식점, 호프·일반주점, 주방보조·설거지, ","경기 수원시 영통구 영통로214번길 41 (영통동, 토야 플라자) 1층 107호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60272086&mj_stat=0&optgf=
37도씨,남자,"월급 2,000,000원","바(bar), ",경기 수원시 팔달구 인계동 1031-3 혜연빌딩 2층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60271996&mj_stat=0&optgf=
커피볶는 남자들,무관,"시급 7,530원","커피전문점, ",경기 수원시 영통구 인계로 284 (매탄동) 1층 커피볶는 남자들,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60271807&mj_stat=0&optgf=
펀비어킹,무관,"시급 8,000원","호프·일반주점, 일반음식점, ",경기 수원시 영통구 망포동 387,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60271059&mj_stat=0&optgf=
에이블어학원,무관,"시급 7,530원","사무보조, 외국어·어학원, 비서, ",경기 수원시 영통구 영통동 979-2번지 늘푸른빌딩 8층 에이블 어학원,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60270909&mj_stat=0&optgf=
도미노피자 영통점,무관,"시급 9,500원","배달, 패스트푸드점, 치킨·피자전문점, ",경기 수원시 영통구 영통동 1045-7,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60270828&mj_stat=0&optgf=
골드,여자,"월급 5,000,000원","바(bar), ",경기 수원시 팔달구 권광로187번길 38,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60270653&mj_stat=0&optgf=
해신,무관,"시급 8,000원","호프·일반주점, 서빙, 서비스 기타, ",경기 수원시 영통구 영통동 청명남로34번길 테라스가든상가 2층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60269062&mj_stat=0&optgf=
맘스터치 영통1호점,무관,"시급 7,530원","패스트푸드점, ","경기 수원시 영통구 덕영대로1555번길 13 (영통동, 세일빌딩) 1층 101호,102호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60268631&mj_stat=0&optgf=
치요 망포점,무관,"월급 2,700,000원","호프·일반주점, 서빙, 주방장·조리사, ","경기 수원시 영통구 영통로214번길 17 (영통동, ASK빌딩) 2층",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60268057&mj_stat=0&optgf=
주식회사 희원,무관,"시급 13,000원","전단지배포, ","경기 성남시 분당구 성남대로 381 (정자동, 폴라리스빌딩) 304호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267611&mj_stat=0&optgf=
